CODE,PRJ_LETTER_GRADE,SB_UID,SB_STATE,sbName,execount,observed,C34_1,C34_2,C34_3,C34_4,C34_5,C34_6,C34_7
2013.1.00834.S,B,uid://A001/X121/X444,Ready,Sgr_A_st_a_03_TE,1,0.0,0,0,0,0,0,1,1
2013.1.00033.S,A,uid://A001/X11f/Xc,FullyObserved,IRAS_205_a_07_TE,1,1.0,0,1,1,1,1,1,0
2013.1.00033.S,A,uid://A001/X11f/Xd,FullyObserved,IRAS_205_b_07_TE,1,1.0,0,1,1,1,1,1,0
2013.1.00033.S,A,uid://A001/X11f/Xe,FullyObserved,IRAS_205_a_06_TE,1,1.0,0,0,1,1,1,1,0
2013.1.00033.S,A,uid://A001/X11f/Xf,FullyObserved,IRAS_205_b_06_TE,1,1.0,0,0,1,1,1,1,0
2013.1.00033.S,A,uid://A001/X11f/X10,FullyObserved,NGC_4418_a_06_TE,1,1.0,0,0,1,1,1,1,0
2013.1.01268.S,A,uid://A001/X11f/Xc2,FullyObserved,HD163296_a_06_TE,4,4.0,0,0,0,0,1,1,0
2013.1.01172.S,B,uid://A001/X12a/X1d7,FullyObserved,ngc_3110_a_06_TE,2,2.0,0,1,1,1,1,1,0
2013.1.01172.S,B,uid://A001/X12b/X192,FullyObserved,ngc_3110_b_06_TE,1,1.0,0,1,1,1,1,1,0
2013.1.01172.S,B,uid://A001/X12b/X194,Ready,ngc_3110_b_03_TE,1,0.0,0,0,0,1,1,1,0
2013.1.01172.S,B,uid://A001/X12b/X193,FullyObserved,ngc_3110_a_03_TE,1,1.0,0,0,0,1,1,1,0
2013.1.01172.S,B,uid://A001/X12a/X1dd,FullyObserved,ngc_1614_a_06_TE,1,1.0,0,1,1,1,1,1,0
2013.1.00940.S,C,uid://A001/X12a/X1dd,FullyObserved,sgrb2_M_1_03_12,1,1.0,0,0,0,0,0,1,0
2013.1.01172.S,B,uid://A001/X12a/X1de,FullyObserved,ngc_1614_b_06_TE,1,1.0,0,1,1,1,1,1,0
2013.1.01172.S,B,uid://A001/X12a/X1df,FullyObserved,ngc_1614_a_03_TE,1,1.0,0,0,0,1,1,1,0
2013.1.01172.S,B,uid://A001/X12a/X1e0,Ready,ngc_1614_b_03_TE,2,1.0,0,0,0,1,1,1,0
2013.1.00195.S,B,uid://A001/X12f/X2c9,Ready,L183_CC_a_07_TE,1,0.0,1,0,0,0,0,0,0
2013.1.00195.S,B,uid://A001/X12f/X2cb,FullyObserved,L183_CC_a_06_TE,1,1.0,1,0,0,0,0,0,0
2013.1.00195.S,B,uid://A001/X12f/X2cd,FullyObserved,L183_CC_a_04_TE,1,1.0,0,1,0,0,0,0,0
2013.1.00195.S,B,uid://A001/X12f/X2cf,Ready,L183_CC_a_03_TE,1,0.0,0,0,1,1,0,0,0
2013.1.01065.S,B,uid://A001/X136/X67,Ready,CO-0.30-_a_06_TE,1,0.0,1,0,0,0,0,0,0
2013.1.01065.S,B,uid://A001/X13f/X71,Ready,CO-0.30-_a_07_TE,1,0.0,0,1,1,1,0,0,0
2013.1.01065.S,B,uid://A001/X136/X6a,Ready,CO-0.30-_b_06_TE,1,0.0,1,0,0,0,0,0,0
2013.1.00470.S,B,uid://A001/X12a/X30,Ready,ALESS_49_a_03_TE,2,0.0,0,0,0,0,0,1,1
2013.1.00470.S,B,uid://A001/X12a/X31,Ready,ALESS_67_a_03_TE,1,0.0,0,0,0,0,0,1,1
2013.1.00470.S,B,uid://A001/X12a/X32,Ready,ALESS_12_a_03_TE,1,0.0,0,0,0,0,0,1,1
2013.1.00470.S,B,uid://A001/X13b/X185,Ready,ALESS_49_a_08_TE,1,0.0,0,1,1,1,1,1,0
2013.1.00470.S,B,uid://A001/X13b/X186,Ready,ALESS_67_a_09_TE,1,0.0,0,1,1,1,1,1,0
2013.1.00884.S,B,uid://A001/X122/X41d,FullyObserved,GS_AGN1_a_07_TE,1,1.0,1,1,1,1,1,1,0
2013.1.00884.S,B,uid://A001/X122/X41e,FullyObserved,GS_AGN15_a_07_TE,1,1.0,1,1,1,1,1,1,0
2013.1.00884.S,B,uid://A001/X122/X41f,Ready,GS_AGN24_a_07_TE,1,0.0,1,1,1,1,1,1,0
2013.1.00884.S,B,uid://A001/X122/X420,FullyObserved,CS_AGN1_a_07_TE,1,1.0,1,1,1,1,1,1,0
2013.1.00884.S,B,uid://A001/X122/X421,FullyObserved,CS_AGN22_a_07_TE,1,1.0,1,1,1,1,1,1,0
2013.1.00884.S,B,uid://A001/X122/X422,FullyObserved,CS_AGN39_a_07_TE,2,2.0,1,1,1,1,1,1,0
2013.1.01166.S,B,uid://A001/X121/X4a7,FullyObserved,HD_13183_a_07_TE,1,1.0,0,0,1,1,0,0,0
2013.1.01166.S,B,uid://A001/X121/X4a8,FullyObserved,HD_13183_b_07_TE,2,2.0,0,0,1,1,0,0,0
2013.1.00180.S,B,uid://A001/X13b/Xd4,Ready,4C12.50_a_03_TE,1,0.0,0,0,0,0,0,0,1
2013.1.00180.S,B,uid://A001/X13b/Xd5,Ready,4C12.50_a_07_TE,1,0.0,0,0,1,1,0,0,0
2013.1.00180.S,B,uid://A001/X13b/Xd6,Ready,4C12.50_a_08_TE,1,0.0,0,1,1,0,0,0,0
2013.1.00180.S,B,uid://A001/X13b/Xd7,Ready,4C12.50_a_09_TE,1,0.0,0,1,0,0,0,0,0
2012.1.00474.S,B,uid://A002/X5d7935/X27d,FullyObserved,ngc1386_229_12m_C32-5,1,1.0,0,0,0,1,0,0,0
2012.1.00474.S,B,uid://A002/X5d7935/X27b,FullyObserved,ngc1566_229_12m_C32-5,1,2.0,0,0,0,1,1,0,0
2012.1.00474.S,B,uid://A002/X5d7935/X27c,FullyObserved,ngc1667_227_12m_C32-5,1,1.0,0,0,0,1,0,0,0
2012.1.00474.S,B,uid://A002/X5d7935/X27e,Ready,ngc2110_228_12m_C32-5,1,0.0,0,0,0,1,0,0,0
2012.1.00474.S,B,uid://A002/X5d7935/X27f,FullyObserved,ngc7213_229_12m_C32-5,1,1.0,0,0,0,1,0,0,0
2012.1.00046.S,B,uid://A002/X7d1738/Xe1,FullyObserved,ISO-Oph_102_B7_12M,1,1.0,0,0,0,0,0,1,0
2013.1.00652.S,B,uid://A001/X135/X28,Ready,N22_a_06_TE,1,0.0,0,1,0,0,0,0,0
2013.1.00652.S,B,uid://A001/X135/X2a,Ready,SWBarN_a_06_TE,1,0.0,0,1,0,0,0,0,0
2013.1.00652.S,B,uid://A001/X135/X2c,Ready,SWBarS_a_06_TE,1,0.0,0,1,0,0,0,0,0
2013.1.00652.S,B,uid://A001/X13e/X8d,Ready,SWDarkPK_a_06_TE,1,0.0,0,1,0,0,0,0,0
2012.1.00602.S,B,uid://A002/X5d7935/X15f,FullyObserved,NB921-N-79144,1,4.0,0,0,0,1,1,1,0
2012.1.00602.S,B,uid://A002/X5d7935/X15e,FullyObserved,NB816-S-61269,3,3.0,0,0,1,1,1,1,0
2013.1.00780.S,C,uid://A001/X147/X361,Ready,omc3_a_07_TE,1,0.0,0,1,0,0,0,0,0
2013.1.00780.S,C,uid://A001/X147/X365,Ready,omc2_a_07_TE,1,0.0,0,1,0,0,0,0,0
2013.1.00780.S,C,uid://A001/X147/X369,Ready,omc1nn_a_07_TE,1,0.0,0,1,0,0,0,0,0
2013.1.00780.S,C,uid://A001/X147/X36d,Ready,omc1nm_a_07_TE,1,0.0,0,1,0,0,0,0,0
2013.1.00780.S,C,uid://A001/X147/X371,Ready,omc1ns_a_07_TE,1,0.0,0,1,0,0,0,0,0
2013.1.00780.S,C,uid://A001/X147/X375,Ready,omc1_a_07_TE,1,0.0,0,1,0,0,0,0,0
2013.1.00355.S,B,uid://A001/X12a/X23e,Ready,HL_Tau_a_07_TE,3,0.0,0,0,0,0,0,0,1
2012.1.00320.S,B,uid://A002/X6444ba/X19a,FullyObserved,NGC_6302_B6_12M,2,2.0,0,1,0,0,0,0,0
2012.1.00984.S,B,uid://A002/X5d50dc/X1,FullyObserved,II_Zw_40_115_12m_C32-6,1,1.0,0,0,0,0,0,1,0
2012.1.00984.S,B,uid://A002/X5d50dc/X2,FullyObserved,II_Zw_40_231_12m_C32-456,1,1.0,0,0,1,1,1,1,0
